study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB43263	SAMEA8124535	ERX5136058	ERR5347675	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/005/ERR5347675/ERR5347675_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/005/ERR5347675/ERR5347675_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347675/CML247-rep1_S4_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347675/CML247-rep1_S4_L002_R2_001.fastq.gz	
PRJEB43263	SAMEA8124535	ERX5136058	ERR5347676	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/006/ERR5347676/ERR5347676_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/006/ERR5347676/ERR5347676_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347676/CML247-rep1_S4_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347676/CML247-rep1_S4_L003_R2_001.fastq.gz	
PRJEB43263	SAMEA8124535	ERX5136058	ERR5347677	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/007/ERR5347677/ERR5347677_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/007/ERR5347677/ERR5347677_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347677/CML247-rep1_S4_L004_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347677/CML247-rep1_S4_L004_R2_001.fastq.gz	
PRJEB43263	SAMEA8124536	ERX5136059	ERR5347678	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/008/ERR5347678/ERR5347678_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/008/ERR5347678/ERR5347678_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347678/CML247-rep2-2_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347678/CML247-rep2-2_R2_001.fastq.gz	
PRJEB43263	SAMEA8124537	ERX5136060	ERR5347679	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/009/ERR5347679/ERR5347679_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/009/ERR5347679/ERR5347679_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347679/CML247-rep3_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347679/CML247-rep3_R2_001.fastq.gz	
PRJEB43263	SAMEA8124538	ERX5136061	ERR5347680	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/000/ERR5347680/ERR5347680_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/000/ERR5347680/ERR5347680_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347680/CML247-root-rep1_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347680/CML247-root-rep1_R2_001.fastq.gz	
PRJEB43263	SAMEA8124539	ERX5136062	ERR5347681	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/001/ERR5347681/ERR5347681_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/001/ERR5347681/ERR5347681_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347681/CML247-root-rep2_corrected_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347681/CML247-root-rep2_corrected_R2_001.fastq.gz	
PRJEB43263	SAMEA8124540	ERX5136063	ERR5347682	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/002/ERR5347682/ERR5347682_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/002/ERR5347682/ERR5347682_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347682/CML247-root-rep3_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347682/CML247-root-rep3_R2_001.fastq.gz	
PRJEB43263	SAMEA8124541	ERX5136064	ERR5347683	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/003/ERR5347683/ERR5347683_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/003/ERR5347683/ERR5347683_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347683/CML247-tassel-rep1_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347683/CML247-tassel-rep1_R2_001.fastq.gz	
PRJEB43263	SAMEA8124542	ERX5136065	ERR5347684	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/004/ERR5347684/ERR5347684_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/004/ERR5347684/ERR5347684_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347684/CML247-tassel-rep2_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347684/CML247-tassel-rep2_R2_001.fastq.gz	
PRJEB43263	SAMEA8124543	ERX5136066	ERR5347685	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/005/ERR5347685/ERR5347685_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/005/ERR5347685/ERR5347685_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347685/CML277-rep1-2_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347685/CML277-rep1-2_R2_001.fastq.gz	
PRJEB43263	SAMEA8124544	ERX5136067	ERR5347686	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/006/ERR5347686/ERR5347686_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/006/ERR5347686/ERR5347686_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347686/CML277_rep2__S3_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347686/CML277_rep2__S3_R2_001.fastq.gz	
PRJEB43263	SAMEA8124545	ERX5136068	ERR5347687	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/007/ERR5347687/ERR5347687_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/007/ERR5347687/ERR5347687_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347687/CML322_rep1_S1_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347687/CML322_rep1_S1_R2_001.fastq.gz	
