,study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,fastq_ftp,submitted_ftp,sra_ftp,Sample,tissue
412,PRJEB36014,SAMEA6448379,ERX3793919,ERR3791815,381124,Zea mays subsp. mays,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/005/ERR3791815/ERR3791815_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/005/ERR3791815/ERR3791815_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791815/Ms71_8DAS_shoot_MN20021_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791815/Ms71_8DAS_shoot_MN20021_R2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR379/005/ERR3791815,MS71,shoot
413,PRJEB36014,SAMEA6448380,ERX3793920,ERR3791816,381124,Zea mays subsp. mays,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/006/ERR3791816/ERR3791816_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/006/ERR3791816/ERR3791816_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791816/Ms71_8DAS_shoot_MN20022_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791816/Ms71_8DAS_shoot_MN20022_R2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR379/006/ERR3791816,MS71,shoot
414,PRJEB36014,SAMEA6448381,ERX3793921,ERR3791817,381124,Zea mays subsp. mays,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/007/ERR3791817/ERR3791817_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/007/ERR3791817/ERR3791817_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791817/NC350_8DAS_shoot_MN21021_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791817/NC350_8DAS_shoot_MN21021_R2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR379/007/ERR3791817,NC350,shoot
415,PRJEB36014,SAMEA6448382,ERX3793922,ERR3791818,381124,Zea mays subsp. mays,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/008/ERR3791818/ERR3791818_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/008/ERR3791818/ERR3791818_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791818/NC350_8DAS_shoot_MN21022_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791818/NC350_8DAS_shoot_MN21022_R2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR379/008/ERR3791818,NC350,shoot
416,PRJEB36014,SAMEA6448383,ERX3793923,ERR3791819,381124,Zea mays subsp. mays,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/009/ERR3791819/ERR3791819_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/009/ERR3791819/ERR3791819_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791819/NC358_8DAS_shoot_MN22021_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791819/NC358_8DAS_shoot_MN22021_R2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR379/009/ERR3791819,NC358,shoot
417,PRJEB36014,SAMEA6448384,ERX3793924,ERR3791820,381124,Zea mays subsp. mays,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/000/ERR3791820/ERR3791820_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/000/ERR3791820/ERR3791820_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791820/NC358_8DAS_shoot_MN22022_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791820/NC358_8DAS_shoot_MN22022_R2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR379/000/ERR3791820,NC358,shoot
418,PRJEB36014,SAMEA6448385,ERX3793925,ERR3791821,381124,Zea mays subsp. mays,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/001/ERR3791821/ERR3791821_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/001/ERR3791821/ERR3791821_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791821/Oh43_8DAS_shoot_MN23021_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791821/Oh43_8DAS_shoot_MN23021_R2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR379/001/ERR3791821,OH43,shoot
419,PRJEB36014,SAMEA6448386,ERX3793926,ERR3791822,381124,Zea mays subsp. mays,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/002/ERR3791822/ERR3791822_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/002/ERR3791822/ERR3791822_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791822/Oh43_8DAS_shoot_MN23022_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791822/Oh43_8DAS_shoot_MN23022_R2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR379/002/ERR3791822,OH43,shoot
420,PRJEB36014,SAMEA6448387,ERX3793927,ERR3791823,381124,Zea mays subsp. mays,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/003/ERR3791823/ERR3791823_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/003/ERR3791823/ERR3791823_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791823/Oh7b_8DAS_shoot_MN24021_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791823/Oh7b_8DAS_shoot_MN24021_R2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR379/003/ERR3791823,OH7B,shoot
421,PRJEB36014,SAMEA6448388,ERX3793928,ERR3791824,381124,Zea mays subsp. mays,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/004/ERR3791824/ERR3791824_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/004/ERR3791824/ERR3791824_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791824/Oh7b_8DAS_shoot_MN24022_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791824/Oh7b_8DAS_shoot_MN24022_R2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR379/004/ERR3791824,OH7B,shoot
